,Disease,Cure name
0,Theileria annulata,"Buparvaquone, Parvaquone"
1,Theileria parva,"Buparvaquone, Parvaquone"
2,Plasmodium knowlesi,"Chloroquine, Artemisinin-based combination therapies"
3,Human parvovirus B19,Intravenous immunoglobulin
4,Entamoeba histolytica,"Metronidazole, Tinidazole"
5,Echinococcus granulosus,"Albendazole, Mebendazole"
6,Echinococcus multilocularis,"Albendazole, Mebendazole"
7,Brucella suis,"Doxycycline, Rifampin, Streptomycin"
8,Rickettsia amblyommatis,"Doxycycline, Chloramphenicol"
9,Rickettsia australis,"Doxycycline, Chloramphenicol"
10,Rickettsia conorii,"Doxycycline, Chloramphenicol"
11,Rickettsia felis,"Doxycycline, Chloramphenicol"
12,Rickettsia japonica,"Doxycycline, Chloramphenicol"
13,Rickettsia prowazekii,"Doxycycline, Chloramphenicol"
14,Rickettsia rickettsii,"Doxycycline, Chloramphenicol"
15,Rickettsia sibirica,"Doxycycline, Chloramphenicol"
16,Rickettsia typhi,"Doxycycline, Chloramphenicol"
17,Mycobacterium avium,"Clarithromycin, Ethambutol, Rifampin"
18,Mycobacterium intracellulare,"Clarithromycin, Ethambutol, Rifampin"
19,Mycobacterium leprae,"Dapsone, Rifampin, Clofazimine"
20,Brucella suis,"Doxycycline, Rifampin"
21,Rickettsia amblyommatis,Doxycycline
22,Rickettsia australis,Doxycycline
23,Rickettsia bellii,Doxycycline
24,Rickettsia canadensis,Doxycycline
25,Rickettsia conorii,Doxycycline
26,Rickettsia felis,Doxycycline
27,Rickettsia japonica,Doxycycline
28,Rickettsia montanensis,Doxycycline
29,Rickettsia parkeri,Doxycycline
30,Rickettsia prowazekii,Doxycycline
31,Rickettsia rhipicephali,Doxycycline
32,Rickettsia rickettsii,Doxycycline
33,Rickettsia sibirica,Doxycycline
34,Rickettsia typhi,Doxycycline
35,Mycobacterium avium,"Clarithromycin, Ethambutol"
36,Mycobacterium intracellulare,"Clarithromycin, Ethambutol"
38,Burkholderia cenocepacia,"Ceftazidime, Meropenem"
39,Burkholderia mallei,"Doxycycline, Ceftazidime"
40,Burkholderia pseudomallei,"Ceftazidime, Meropenem"
41,Cryptococcus neoformans,"Fluconazole, Amphotericin B"
42,Enterobacter cloacae,"Cefepime, Piperacillin-tazobactam"
43,Burkholderia cenocepacia,"Meropenem, Ceftazidime, Doxycycline"
44,Burkholderia multivorans,"Trimethoprim-sulfamethoxazole, Meropenem"
45,Burkholderia mallei,"Doxycycline, Ceftazidime, Imipenem"
46,Burkholderia pseudomallei,"Ceftazidime, Meropenem, Amoxicillin-clavulanate"
47,Cryptococcus neoformans,"Amphotericin B, Flucytosine, Fluconazole"
48,Enterobacter cloacae,"Cefepime, Imipenem, Meropenem"
49,Dirofilaria immitis,"Ivermectin, Milbemycin oxime, Doxycycline"
50,Mycobacterium tuberculosis,"Isoniazid, Rifampin, Pyrazinamide, Ethambutol"
51,Plasmodium chabaudi,"Chloroquine, Artemisinin-based combination therapies"
52,Bacillus cereus,"Vancomycin, Clindamycin"
53,Tritrichomonas foetus,"Metronidazole, Ronidazole"
54,Candida tropicalis,"Fluconazole, Amphotericin B, Echinocandins"
55,Mycobacterium tuberculosis,"Isoniazid, Rifampicin"
56,Plasmodium chabaudi,"Chloroquine, Artemisinin"
57,Dirofilaria immitis,"Ivermectin, Doxycycline"
58,Candida tropicalis,"Fluconazole, Amphotericin B"
60,Tritrichomonas foetus,Metronidazole
61,Mycobacterium bovis,"Isoniazid, Rifampicin"
62,Mycolicibacterium paratuberculosis,"Rifabutin, Clarithromycin"
63,Chromobacterium violaceum,"Sulfamethoxazole, Trimethoprim"
64,Klebsiella aerogenes,"Ceftriaxone, Ciprofloxacin"
65,Variola virus,"Tecovirimat, Cidofovir"
66,Mycobacterium bovis,"Isoniazid, Rifampin, Ethambutol"
67,Mycolicibacterium paratuberculosis,"Clarithromycin, Rifabutin, Ethambutol"
68,Chromobacterium violaceum,"Sulfamethoxazole-Trimethoprim, Meropenem, Ceftazidime"
69,Klebsiella aerogenes,"Ceftriaxone, Ciprofloxacin, Amikacin"
70,Variola virus,"No specific antiviral , supportive care"
71,Fowlpox virus,"No specific antiviral, supportive care, vaccination for prevention"
72,Monkeypox virus,"Tecovirimat, Cidofovir"
73,Vaccinia virus,"Tecovirimat, Cidofovir"
74,Aspergillus fumigatus,"Voriconazole, Amphotericin B"
75,Aspergillus flavus,"Voriconazole, Amphotericin B"
76,Aspergillus terreus,"Voriconazole, Amphotericin B"
77,Candida dubliniensis,"Fluconazole, Amphotericin B"
79,Clavispora lusitaniae,"Amphotericin B, Flucytosine"
80,Acinetobacter baylyi,"Imipenem, Colistin"
81,Monkeypox virus,"Tecovirimat, Cidofovir, Brincidofovir"
82,Vaccinia virus,"Tecovirimat, Cidofovir, Vaccinia Immune Globulin"
83,Aspergillus fumigatus,"Voriconazole, Amphotericin B, Isavuconazole"
84,Aspergillus flavus,"Amphotericin B, Posaconazole, Itraconazole"
86,Candida dubliniensis,"Fluconazole, Amphotericin B, Caspofungin"
87,Candida tropicalis,"Fluconazole, Amphotericin B, Micafungin"
88,Acinetobacter baylyi,"Meropenem, Colistin, Tigecycline"
89,Penicillium rubens,"Amphotericin B, Itraconazole"
90,Talaromyces marneffei,"Amphotericin B, Itraconazole"
91,Aspergillus niger,"Itraconazole, Amphotericin B"
93,Coccidioides immitis,"Fluconazole, Itraconazole"
95,Klebsiella oxytoca,"Ceftriaxone, Ciprofloxacin"
96,Coccidioides immitis,"Amphotericin B, Fluconazole, Itraconazole"
97,Cryptococcus neoformans,"Fluconazole, Amphotericin B, Itraconazole"
98,Escherichia coli,"Ciprofloxacin, Amoxicillin"
99,Bacillus subtilis,"Bacitracin, Erythromycin"
100,Haemophilus influenzae,"Amoxicillin, Ceftriaxone"
101,Bacillus anthracis,"Ciprofloxacin, Doxycycline"
103,Bacillus thuringiensis subsp. konkukian,"Bacitracin, Erythromycin"
104,Bacillus licheniformis,"Bacitracin, Erythromycin"
105,Borreliella afzelii,"Doxycycline, Amoxicillin"
106,Borreliella burgdorferi,"Doxycycline, Amoxicillin"
107,Chlamydia pneumoniae,"Azithromycin, Doxycycline"
108,Clostridioides difficile,"Vancomycin, Metronidazole"
109,Clostridium botulinum,"Antitoxin, Penicillin"
110,Clostridium tetani,"Metronidazole, Penicillin"
111,Ehrlichia canis,"Doxycycline, Tetracycline"
112,Ehrlichia chaffeensis,"Doxycycline, Rifampin"
113,Ehrlichia ruminantium,"Doxycycline, Oxytetracycline"
114,Enterococcus faecalis,"Ampicillin, Vancomycin"
115,Francisella tularensis subsp. tularensis,"Streptomycin, Gentamicin"
116,Francisella tularensis subsp. holarctica,"Streptomycin, Gentamicin"
117,Legionella pneumophila,"Azithromycin, Levofloxacin"
118,Listeria monocytogenes serotype 4b,"Ampicillin, Gentamicin"
119,Mycobacterium bovis,"Isoniazid, Rifampin"
121,Mycolicibacterium fortuitum,"Clarithromycin, Amikacin"
122,Mycobacterium leprae,"Dapsone, Rifampin"
123,Mycobacterium tuberculosis,"Isoniazid, Rifampin"
124,Pseudomonas aeruginosa,"Ciprofloxacin, Tobramycin"
125,Staphylococcus aureus,"Vancomycin, Linezolid"
127,Staphylococcus aureus infections,"Vancomycin, Linezolid, Daptomycin"
128,Staphylococcus epidermidis infections,"Vancomycin, Linezolid, Daptomycin"
129,Staphylococcus haemolyticus infections,"Vancomycin, Linezolid, Daptomycin"
130,Staphylococcus saprophyticus infections,"Nitrofurantoin, Trimethoprim-sulfamethoxazole"
131,Streptomyces infections,"Amikacin, Doxycycline"
132,Synechococcus infections,No specific treatment required
133,Wolbachia infections,"Doxycycline, Rifampicin"
134,Snakebite envenomation,"Antivenom, Crotalidae Polyvalent Immune Fab"
143,Mycolicibacterium smegmatis infections,"Isoniazid, Rifampicin"
144,Rhodococcus opacus infections,"Clarithromycin, Rifampicin"
