Disease,Cure name
Theileria annulata,"Buparvaquone, Parvaquone"
Theileria parva,"Buparvaquone, Parvaquone"
Plasmodium knowlesi,"Chloroquine, Artemisinin-based combination therapies (ACTs)"
Human parvovirus B19,Intravenous immunoglobulin (IVIG)
Entamoeba histolytica,"Metronidazole, Tinidazole"
Echinococcus granulosus,"Albendazole, Mebendazole"
Echinococcus multilocularis,"Albendazole, Mebendazole"
Brucella suis,"Doxycycline, Rifampin, Streptomycin"
Rickettsia amblyommatis,"Doxycycline, Chloramphenicol"
Rickettsia australis,"Doxycycline, Chloramphenicol"
Rickettsia conorii,"Doxycycline, Chloramphenicol"
Rickettsia felis,"Doxycycline, Chloramphenicol"
Rickettsia japonica,"Doxycycline, Chloramphenicol"
Rickettsia prowazekii,"Doxycycline, Chloramphenicol"
Rickettsia rickettsii,"Doxycycline, Chloramphenicol"
Rickettsia sibirica,"Doxycycline, Chloramphenicol"
Rickettsia typhi,"Doxycycline, Chloramphenicol"
Mycobacterium avium,"Clarithromycin, Ethambutol, Rifampin"
Mycobacterium intracellulare,"Clarithromycin, Ethambutol, Rifampin"
Mycobacterium leprae,"Dapsone, Rifampin, Clofazimine"
Brucella suis,"Doxycycline, Rifampin"
Rickettsia amblyommatis,Doxycycline
Rickettsia australis,Doxycycline
Rickettsia bellii,Doxycycline
Rickettsia canadensis,Doxycycline
Rickettsia conorii,Doxycycline
Rickettsia felis,Doxycycline
Rickettsia japonica,Doxycycline
Rickettsia montanensis,Doxycycline
Rickettsia parkeri,Doxycycline
Rickettsia prowazekii,Doxycycline
Rickettsia rhipicephali,Doxycycline
Rickettsia rickettsii,Doxycycline
Rickettsia sibirica,Doxycycline
Rickettsia typhi,Doxycycline
Mycobacterium avium,"Clarithromycin, Ethambutol"
Mycobacterium intracellulare,"Clarithromycin, Ethambutol"
Mycobacterium leprae,"Dapsone, Rifampin, Clofazimine"
Burkholderia cenocepacia,"Ceftazidime, Meropenem"
Burkholderia mallei,"Doxycycline, Ceftazidime"
Burkholderia pseudomallei,"Ceftazidime, Meropenem"
Cryptococcus neoformans,"Fluconazole, Amphotericin B"
Enterobacter cloacae,"Cefepime, Piperacillin-tazobactam"
Burkholderia cenocepacia,"Meropenem, Ceftazidime, Doxycycline"
Burkholderia multivorans,"Trimethoprim-sulfamethoxazole, Meropenem"
Burkholderia mallei,"Doxycycline, Ceftazidime, Imipenem"
Burkholderia pseudomallei,"Ceftazidime, Meropenem, Amoxicillin-clavulanate"
Cryptococcus neoformans,"Amphotericin B, Flucytosine, Fluconazole"
Enterobacter cloacae,"Cefepime, Imipenem, Meropenem"
Dirofilaria immitis (Heartworm),"Ivermectin, Milbemycin oxime, Doxycycline"
Mycobacterium tuberculosis,"Isoniazid, Rifampin, Pyrazinamide, Ethambutol"
Plasmodium chabaudi,"Chloroquine, Artemisinin-based combination therapies (ACTs)"
Bacillus cereus,"Vancomycin, Clindamycin"
Tritrichomonas foetus,"Metronidazole, Ronidazole"
Candida tropicalis,"Fluconazole, Amphotericin B, Echinocandins"
Mycobacterium tuberculosis,"Isoniazid, Rifampicin"
Plasmodium chabaudi,"Chloroquine, Artemisinin"
Dirofilaria immitis,"Ivermectin, Doxycycline"
Candida tropicalis,"Fluconazole, Amphotericin B"
Bacillus cereus,"Vancomycin, Clindamycin"
Tritrichomonas foetus,Metronidazole
Mycobacterium bovis,"Isoniazid, Rifampicin"
Mycolicibacterium paratuberculosis,"Rifabutin, Clarithromycin"
Chromobacterium violaceum,"Sulfamethoxazole, Trimethoprim"
Klebsiella aerogenes,"Ceftriaxone, Ciprofloxacin"
Variola virus,"Tecovirimat, Cidofovir"
Mycobacterium bovis (Bovine Tuberculosis),"Isoniazid, Rifampin, Ethambutol"
Mycolicibacterium paratuberculosis,"Clarithromycin, Rifabutin, Ethambutol"
Chromobacterium violaceum,"Sulfamethoxazole-Trimethoprim, Meropenem, Ceftazidime"
Klebsiella aerogenes,"Ceftriaxone, Ciprofloxacin, Amikacin"
Variola virus (Smallpox),"No specific antiviral (Cidofovir for experimental use), supportive care"
Fowlpox virus,"No specific antiviral, supportive care, vaccination for prevention"
Monkeypox virus,"Tecovirimat, Cidofovir"
Vaccinia virus,"Tecovirimat, Cidofovir"
Aspergillus fumigatus,"Voriconazole, Amphotericin B"
Aspergillus flavus,"Voriconazole, Amphotericin B"
Aspergillus terreus,"Voriconazole, Amphotericin B"
Candida dubliniensis,"Fluconazole, Amphotericin B"
Candida tropicalis,"Fluconazole, Amphotericin B"
Clavispora lusitaniae,"Amphotericin B, Flucytosine"
Acinetobacter baylyi,"Imipenem, Colistin"
Monkeypox virus,"Tecovirimat, Cidofovir, Brincidofovir"
Vaccinia virus (various strains),"Tecovirimat, Cidofovir, Vaccinia Immune Globulin (VIG)"
Aspergillus fumigatus,"Voriconazole, Amphotericin B, Isavuconazole"
Aspergillus flavus,"Amphotericin B, Posaconazole, Itraconazole"
Aspergillus terreus,"Voriconazole, Amphotericin B"
Candida dubliniensis,"Fluconazole, Amphotericin B, Caspofungin"
Candida tropicalis,"Fluconazole, Amphotericin B, Micafungin"
Acinetobacter baylyi,"Meropenem, Colistin, Tigecycline"
Penicillium rubens,"Amphotericin B, Itraconazole"
Talaromyces marneffei,"Amphotericin B, Itraconazole"
Aspergillus niger,"Itraconazole, Amphotericin B"
Bacillus cereus,"Vancomycin, Clindamycin"
Coccidioides immitis,"Fluconazole, Itraconazole"
Cryptococcus neoformans,"Fluconazole, Amphotericin B"
Klebsiella oxytoca,"Ceftriaxone, Ciprofloxacin"
Coccidioides immitis (Coccidioidomycosis),"Amphotericin B, Fluconazole, Itraconazole"
Cryptococcus neoformans (Cryptococcosis),"Fluconazole, Amphotericin B, Itraconazole"
Escherichia coli (strain K12),"Ciprofloxacin, Amoxicillin"
Bacillus subtilis (strain 168),"Bacitracin, Erythromycin"
Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),"Amoxicillin, Ceftriaxone"
